database name,intro,related subjects,access url,function,img,open_resource,ai_feature,sort
學位論文庫 (CNKI),"The database consists of China Doctoral Dissertations Full-text Database and China Master’s Theses Full-text Database, which contains the collection of doctoral dissertations and master's theses from China's 985 and 211 universities, the Chinese Academy of Sciences, the Academy of Social Sciences, and the State Key Laboratory.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/%E5%AD%B8%E4%BD%8D%E8%AB%96%E6%96%87%E5%BA%AB,Find Theses,/img/cnki.png,n,y,3
ProQuest Dissertations & Theses Global,ProQuest Dissertations & Theses Global: The Sciences and Engineering Collection is the world's most comprehensive collection of dissertations and theses on sciences and engineering.,Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/proquest-dissertations-theses-global-sciences-and-engineering-collection,Find Theses,/img/proquest.png,n,y,1
PolyU Electronic Theses,"The PolyU Electronic Theses provides access to the full-text images of the doctoral dissertations and master's theses of the postgraduate students of the University, comprising works in both English and Chinese. It contains citations with abstracts and full-text images of the theses and dissertations.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/polyu-electronic-theses,Find Theses,/img/etheses.png,n,n,2
JoVE,"JoVE (Journal of Visualized Experiments) provides a rich collection of videos onÂ scientific techniques and methodologies to support teaching and learning. As a video journal, it alsoÂ publishes peer-reviewed scientific video protocols to accelerate biological, medical, chemical and physical research.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/jove,Experiment Design,/img/jove.png,n,y,1
Springer Protocols,Springer Protocols is a database of reproducible laboratory protocols in biomedicine and life sciences. The platform contains nearly 40 years of protocols.,Chemistry|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/springer-protocols,Experiment Design,/img/springer_protocols.svg,n,n,2
ASTM Compass,"ASTM Compass provides access to technicalÂ standards, books, journals and technical reports published by American Society for Testing and Materials (ASTM). It also covers standards co-developed by other organizations such as ISO and BSI. The platform allows you to check historical, withdrawn and redline versions, compare versions of standards and make annotations.Â ",Chemistry|Physics and Materials Science,https://www.lib.polyu.edu.hk/databases/aatcc,Find Standard,/img/astm_compass.png,n,n,1
British Standards Online (BSOL),British Standards Online (BSOL). BSI collection provides full access to British Standards (BSI). ISO collection provides full access to technical standards published by ISO (International Organization for Standardization). ,Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/british-standards-online-bsol,Find Standard,/img/bsi.png,n,n,2
Google Patents,"Google Patents is a patent search engine that lets users search and read full?text patent documents from many major patent offices worldwide, using a familiar Google?style interface and integrated links to related literature.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://patents.google.com/,Find Patent,/img/google-patent.jpeg,y,n,1
WIPO PATENTSCOPE,WIPO PATENTSCOPE is the World Intellectual Property Organisation’s database providing free access to full?text Patent Cooperation Treaty (PCT) applications and patent documents from participating national and regional offices.,Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://patentscope.wipo.int/search/,Find Patent,/img/wipo.png,y,n,2
EPO Espacenet,"EPO Espacenet is the European Patent Office’s global patent database offering free access to over 150 million patent documents from dozens of countries, with tools for keyword and classification searching, machine translation, and viewing patent families and legal status information.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://worldwide.espacenet.com/patent/,Find Patent,/img/epo.jpeg,y,n,3
Lens.org,"Lens.org is an open, non?profit patent and scholarly search platform that integrates patents from major offices with scientific literature, providing powerful filters, visualisations, and export options for exploring patent families, citation networks, and the links between inventions, researchers, and institutions.",Chemistry|Physics and Materials Science|Food Science and Nutrition|Life Sciences,https://www.lens.org/,Find Patent,/img/lens.png,y,n,4
American Chemical Society (ACS),The collection provides access to the full-text articles of selected titles published (or co-published) by American Chemical Society (ACS).,Chemistry|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/acs-publications-journals-and-magazines,Publisher,/img/acs.png,n,n,1
American Physical Society (APS),"American Physical Society (APS) Journals collection consists of a number of leading peer-reviewed research journals in physics and related subjects, including Physical Review Letters, Physical Review X, Physical Review, and Reviews of Modern Physics.",Physics and Materials Science,https://www.lib.polyu.edu.hk/databases/aps-journals,Publisher,/img/aps.svg,n,n,2
Institute of Physics (IOP),Provides access to full articles of the selected journals published by Institute of Physics (IOP).  ,Physics and Materials Science,https://www.lib.polyu.edu.hk/databases/iop-electronic-journals,Publisher,/img/iop.png,n,n,3
Nature,"Provides full-text access to articles from all journals published by Nature Publishing Group. The journals cover cell biology, biotechnology, immunology, genetics, neuroscience, and structural biology. ",Physics and Materials Science|Chemistry|Life Sciences,https://www.lib.polyu.edu.hk/databases/nature-publishing-group-journals,Publisher,/img/nature.svg,n,n,4
Royal Society of Chemistry (RSC),"RSC Journals offers full-text of current chemistry journals published by the Royal Society of Chemistry (RSC). The database of journal articles is searchable by journal title, article title, author, issue number and date.",Chemistry|Food Science and Nutrition|Life Sciences,https://www.lib.polyu.edu.hk/databases/rsc-journals,Publisher,/img/rsc.png,n,n,5
